2025-10-02 03:10:45.690 28811-28811 Capacitor/...oardPlugin com.confessr.app                     V  Notifying listeners for event keyboardWillShow
2025-10-02 03:10:45.690 28811-28811 Capacitor/...oardPlugin com.confessr.app                     D  No listeners found for event keyboardWillShow
2025-10-02 03:10:46.019 28811-28811 Capacitor/...oardPlugin com.confessr.app                     V  Notifying listeners for event keyboardDidShow
2025-10-02 03:10:46.019 28811-28811 Capacitor/...oardPlugin com.confessr.app                     D  No listeners found for event keyboardDidShow
2025-10-02 03:10:48.299 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 728 - Msg: 📤 Send button clicked, processing message... [object Object]
2025-10-02 03:10:48.305 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 728 - Msg: 📤 About to send message: [object Object]
2025-10-02 03:10:48.305 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 386 - Msg: 📤 sendMessage called: [object Object]
2025-10-02 03:10:48.305 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 728 - Msg: ✅ Message dispatched, clearing input
2025-10-02 03:10:48.318 28811-28811 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 123754007, pluginId: Network, methodName: getStatus
2025-10-02 03:10:48.318 28811-28811 Capacitor               com.confessr.app                     V  callback: 123754007, pluginId: Network, methodName: getStatus, methodData: {}
2025-10-02 03:10:48.335 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 386 - Msg: 🌐 Network status: [object Object]
2025-10-02 03:10:48.528 28811-28811 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 123754008, pluginId: CapacitorSQLite, methodName: run
2025-10-02 03:10:48.528 28811-28811 Capacitor               com.confessr.app                     V  callback: 123754008, pluginId: CapacitorSQLite, methodName: run, methodData: {"database":"confessr_db","statement":"INSERT OR REPLACE INTO messages\n       (id, group_id, user_id, content, is_ghost, message_type, category, parent_id, image_url, created_at, updated_at, deleted_at)\n       VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?);","values":["1759354848333-j3sugham9ec","78045bbf-7474-46df-aac1-f34936b67d24","839d1d4a-e72b-47bb-b74e-ef28a15f43ee","Gxt7citxt. H i y",1,"text",null,null,null,1759354848334,null,null],"transaction":true,"readonly":false,"returnMode":"no","isSQL92":true}
2025-10-02 03:10:48.864 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.851 📤 Sending message 1759354848333-j3sugham9ec...
2025-10-02 03:10:48.864 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.852 [send-1759354848333-j3sugham9ec] stage: entered send
2025-10-02 03:10:48.864 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.852 [send-1759354848333-j3sugham9ec] input: group=78045bbf user=839d1d4a ghost=true type=text dedupe=true
2025-10-02 03:10:48.864 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.854 [send-1759354848333-j3sugham9ec] checkHealth() -> start
2025-10-02 03:10:48.885 28811-28811 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 123754009, pluginId: Network, methodName: getStatus
2025-10-02 03:10:48.885 28811-28811 Capacitor               com.confessr.app                     V  callback: 123754009, pluginId: Network, methodName: getStatus, methodData: {}
2025-10-02 03:10:48.945 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.905 🌐 Network state: online=true webViewReady=true type=cellular
2025-10-02 03:10:48.945 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.906 🏥 Health check: starting (online=true webViewReady=true)
2025-10-02 03:10:48.946 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.906 🏥 Health check: using cached access token (healthy)
2025-10-02 03:10:48.946 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.906 [send-1759354848333-j3sugham9ec] checkHealth() -> healthy
2025-10-02 03:10:48.947 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.906 [send-1759354848333-j3sugham9ec] stage: health ok
2025-10-02 03:10:48.948 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.906 📤 Direct send attempt 1/3 - message 1759354848333-j3sugham9ec
2025-10-02 03:10:48.948 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.906 [send-1759354848333-j3sugham9ec] stage: pre-network
