
2025-09-24 02:15:15.773 23413-23413 Capacitor/...oardPlugin com.confessr.app                     D  No listeners found for event keyboardDidShow
2025-09-24 02:15:17.023 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 727 - Msg: 📤 Send button clicked, processing message... [object Object]
2025-09-24 02:15:17.025 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 727 - Msg: 📤 About to send message: [object Object]
2025-09-24 02:15:17.025 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 385 - Msg: 📤 sendMessage called: [object Object]
2025-09-24 02:15:17.026 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 727 - Msg: ✅ Message dispatched, clearing input
2025-09-24 02:15:17.039 23413-23413 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 19132495, pluginId: Network, methodName: getStatus
2025-09-24 02:15:17.039 23413-23413 Capacitor               com.confessr.app                     V  callback: 19132495, pluginId: Network, methodName: getStatus, methodData: {}
2025-09-24 02:15:17.053 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 385 - Msg: 🌐 Network status: [object Object]
2025-09-24 02:15:17.148 23413-23413 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 19132496, pluginId: CapacitorSQLite, methodName: run
2025-09-24 02:15:17.148 23413-23413 Capacitor               com.confessr.app                     V  callback: 19132496, pluginId: CapacitorSQLite, methodName: run, methodData: {"database":"confessr_db","statement":"INSERT OR REPLACE INTO messages\n       (id, group_id, user_id, content, is_ghost, message_type, category, parent_id, image_url, created_at, updated_at, deleted_at)\n       VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?);","values":["1758660317048-r0sqt1vhibn","87faebb0-0bf4-49c9-8119-8d56abe52be2","839d1d4a-e72b-47bb-b74e-ef28a15f43ee","Jgyosi5",0,"text",null,null,null,1758660317048,null,null],"transaction":true,"readonly":false,"returnMode":"no","isSQL92":true}
2025-09-24 02:15:17.244 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:17.232 📤 Sending message 1758660317048-r0sqt1vhibn...
2025-09-24 02:15:17.244 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:17.233 [send-1758660317048-r0sqt1vhibn] input: group=87faebb0 user=839d1d4a ghost=false type=text dedupe=true
2025-09-24 02:15:17.245 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:17.233 [send-1758660317048-r0sqt1vhibn] checkHealth() -> start
2025-09-24 02:15:17.256 23413-23413 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 19132497, pluginId: Network, methodName: getStatus
2025-09-24 02:15:17.256 23413-23413 Capacitor               com.confessr.app                     V  callback: 19132497, pluginId: Network, methodName: getStatus, methodData: {}
2025-09-24 02:15:17.321 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:17.310 🌐 Network state: online=true webViewReady=true type=wifi
2025-09-24 02:15:17.321 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:17.311 🏥 Health check: starting (online=true webViewReady=true)
2025-09-24 02:15:17.321 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:17.311 🏥 Health check: using cached access token (healthy)
2025-09-24 02:15:17.321 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:17.311 [send-1758660317048-r0sqt1vhibn] checkHealth() -> healthy
2025-09-24 02:15:17.322 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:17.312 📤 Direct send attempt 1/3 - message 1758660317048-r0sqt1vhibn
